# Simon's example of shellable but not vertex decomposable
# 2-complex.
#
# taken from:
#   Robert Samuel Simon,
#   Combinatorial Properties of "Cleanness",
#   J.Algebra, 167(1994), 361-388.
#
#
1 2 3
2 3 4
1 3 4
1 4 6
1 5 6
1 2 5
2 3 5
2 4 6
3 5 6
4 5 6
